"Empresa","NIPC","Estatuto","Estado_Empresa","Tipo_Empresa","Capital_Social","Data_Registro","CAE","Area_de_atividade","Localizacao","Morada","Codigo_Postal","Email","Telemovel","Website","SEO"
"Bac3Gel, Lda","516010085","StartUp","Active","LDA","400.00€","22/10/2021","Não Fornecido","Desconhecida","Lisboa,Cascais,Carcavelos","Não Fornecido","2740-122","Não Fornecido","Não Fornecido","Não Fornecido","bac3gel-lda"
"Ergpd Compliance.pt - Soluções de Segurança e Proteção de Dados, Lda","516646648","StartUp","Active","UNI","1.00€","20/10/2021","Não Fornecido","Desconhecida","Braga,Guimarães,São Sebastião (Guimarães)","Avenida Dom Joao IV 466 1 Dtº","4810-533","Não Fornecido","Não Fornecido","Não Fornecido","compliance-tech-sociedade-unipessoal-lda"
"Compliance Tech, Sociedade Unipessoal Lda","515580058","StartUp","Active","LDA","33000.00€","10/12/2020","Não Fornecido","Desconhecida","Braga,Braga,São José de São Lázaro","Avenida Infante Dom Henrique, 333H, 1º Andar, 17A","1800-282","Não Fornecido","Não Fornecido","Não Fornecido","indie-tech-lda"
"Ovan - Tech & Information Systems, Lda","516661574","StartUp","Active","LDA","20000.00€","06/01/2022","Não Fornecido","Desconhecida","Guarda,Trancoso,Souto Maior","Rua de São Martinho, Nº 8, Lourinha de Baixo, Marmeleira","3450-092","Não Fornecido","Não Fornecido","Não Fornecido","noytrall-technologies-lda"
"Detu Tech - Consultoria, Mobilidade e Informação, Lda","517508729","StartUp","Active","LDA","100.00€","05/08/2020","Não Fornecido","Desconhecida","Coimbra,Coimbra,Santo António dos Olivais","Via do Conhecimento, Edifício Central, Pci - Parque de Ciência e Inovação","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","vitruvian-shield-pt-lda"
"Sciven, Desenvolvimento e Exploração de Sistemas de Energia Lda","516616242","StartUp","Active","LDA","1000.00€","07/12/2023","Não Fornecido","Desconhecida","Porto,Matosinhos,São Mamede de Infesta","Pci Creative Science Park Aveiro Region, Via do Conhecimento, Edifício Central","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","cellularis-biomodels-lda"
"Artifact Technologies, Lda","518199908","StartUp","Active","SA","162312.32€","27/10/2016","Não Fornecido","Desconhecida","Beja,Vidigueira,Vidigueira","Av. Dr.fernando Ricardo Ribeiro Leitão, Nº 10, R/C, Direito","2745-770","Não Fornecido","Não Fornecido","Não Fornecido","coverage-labs-lda"
"Hijiffy, S.a","518133796","StartUp","Active","LDA","111.37€","22/07/2022","Não Fornecido","Desconhecida","Porto,Porto,Paranhos","Rua 31, N.º 491","4500-148","Não Fornecido","Não Fornecido","Não Fornecido","prait-unipessoal-lda"
"Agit Tech, Lda","518311244","StartUp","Active","UNI","500.00€","22/08/2019","Não Fornecido","Desconhecida","Porto,Matosinhos,Leça da Palmeira","Rua das Sobreiras, 396","4150-713","Não Fornecido","Não Fornecido","Não Fornecido","volis-ai-tecnologia-lda"
"Ilof - Intelligent Lab On Fiber, Unipessoal Lda","515538426","StartUp","Active","SA","58810.96€","24/01/2018","01280","Cultura de especiarias, plantas aromáticas, medicinais e farmacêuticas","Braga,Esposende,Esposende","Quinta Vale do Espinhal, E.m. 558-1 (Hiese)","3230-343","aboutaquafood@gmail.com","239700770","Não Fornecido","about-aqua-food-lda"
"Chemitek - Química Avançada, S.a","514958600","StartUp","Active","LDA","0.00€","27/07/2015","00002","Silvicultura e exploração florestal","Coimbra,Penela,Santa Eufémia","Tec Labs, Campus da Fcul, Campo Grande","1749-016","Não Fornecido","Não Fornecido","Não Fornecido","delox-investigacao-processos-e-equipamentos-cientificos-lda"
"Science 351 - Disruptive & Sustainable R&d Innovations, Lda","517246910","StartUp","Active","SA","119553.60€","07/09/2017","00002","Silvicultura e exploração florestal","Aveiro,Sever do Vouga,Cedrim","Rua Tomé Barros Queirós, 162","3830-252","Não Fornecido","Não Fornecido","Não Fornecido","thunder-trick-sociedade-de-energia-renovavel-lda"
"Graphenest, S.a","515492507","StartUp","Active","SA","436184.63€","18/08/2023","00002","Silvicultura e exploração florestal","Coimbra,Cantanhede,Cantanhede","Avenida 25 de Abril S/N","7080-134","Não Fornecido","Não Fornecido","Não Fornecido","mbte-europeltier-thermotechnology-lda"
"Seaentia-Food, S.a","516306057","StartUp","Active","LDA","2501.00€","07/09/2019","00002","Silvicultura e exploração florestal","Lisboa,Lisboa,Alvalade","Monte Azul, Nº 35, Courelas da Toura","7005-753","Não Fornecido","Não Fornecido","Não Fornecido","universapulsar-lda"
"Keepit, Lda","514130385","StartUp","Active","LDA","1888.89€","21/12/2023","00002","Silvicultura e exploração florestal","Açores,Angra do Heroísmo,Terra Chã","Rua dos Marinheiros, Lote 6, Nº 146, Zicofa","2415-807","Não Fornecido","Não Fornecido","Não Fornecido","drt-plastic-injection-lda"
"Redcatpig - Desenvolvimento e Comercialização, Lda","513723480","StartUp","Active","LDA","5000.00€","06/04/2015","00002","Silvicultura e exploração florestal","Lisboa,Lisboa,Bonfim","Rua dos Marinheiros, Zona Industrial da Cova da Faias, Zicofa, Lote 37, Fração B","2415-314","Não Fornecido","Não Fornecido","Não Fornecido","drt-micro-precision-lda"
"Sustanya, Lda","516181785","StartUp","Active","SA","101503.47€","06/01/2017","02300","Extração de cortiça, resina e de outros produtos florestais, exceto madeira","Porto,Porto,Parceiros","Largo do Esteiro, Nº 6, Azambuja","2050-261","Não Fornecido","Não Fornecido","Não Fornecido","landratech-lda"
"Infraspeak, S.a","517400057","StartUp","Active","SA","104677.12€","11/11/2016","02400","Serviços de apoio à silvicultura e à exploração florestal","Leiria,Leiria,Parceiros","Rua da Estação, N.º 689 B0","4410-178","Não Fornecido","Não Fornecido","Não Fornecido","terrafarmers-lda"
"Glartek - Technology Solutions, S.a","518301699","StartUp","Active","SA","64253.45€","12/02/2021","02400","Serviços de apoio à silvicultura e à exploração florestal","Leiria,Leiria,Santo Estevão","Avenida Primeiro de Maio, N.º 1, Mafra","2640-455","Não Fornecido","Não Fornecido","Não Fornecido","primary-link-sociedade-unipessoal-lda"
"Sound Particles, S.a","518078310","StartUp","Active","UNI","5000.00€","18/05/2016","00003","Pesca e aquicultura","Lisboa,Lisboa,São José de São Lázaro","Rua Dr. Eduardo Neves, 9, Piso 3","1050-077","Não Fornecido","Não Fornecido","Não Fornecido","manie-switch-lda"
"Bounce, Unipessoal Lda","514487003","StartUp","Active","SA","93258.26€","17/12/2020","03210","Aquicultura em águas salgadas e salobras","Braga,Braga,Santo António dos Olivais","Parque Tecnológico de Cantanhede, Núcleo 04, Lote 2","3060-197","Não Fornecido","Não Fornecido","Não Fornecido","seaentia-food-s-a"
"Mindprober, S.a","517824094","StartUp","Active","LDA","2000.00€","18/06/2021","03210","Aquicultura em águas salgadas e salobras","Coimbra,Coimbra,Canidelo","Estrada Nacional 115 - 1, Nº 32, Chão do Sapo","2550-362","Não Fornecido","Não Fornecido","Não Fornecido","baia-impecavel-unipessoal-lda"
"Our Watch Leads - Owl, Lda","517218321","StartUp","Active","LDA","240.00€","24/03/2017","03210","Aquicultura em águas salgadas e salobras","Porto,Vila Nova de Gaia,Cantanhede","Rua Acácias, Nº 40-A","3090-380","Não Fornecido","Não Fornecido","Não Fornecido","umimare-inovacao-do-mar-lda"
"Thiago Vieira Consulting, Lda","517461730","StartUp","Active","SA","407376.00€","06/11/2023","00005","Extração de carvão e lenhite","Coimbra,Cantanhede,Cercal","Avenida Manuel Violas, Nº 476","4410-137","Não Fornecido","Não Fornecido","Não Fornecido","genialsquare-lda"
"Carbocode, S.a","516015524","StartUp","Active","UNI","1.00€","05/11/2019","00005","Extração de carvão e lenhite","Lisboa,Cadaval,Cedofeita","Rua 24 de Agosto, Nº 34","2530-701","Não Fornecido","Não Fornecido","Não Fornecido","empreendimentos-j-carmelino-lda"
"Baía Impecável - Unipessoal Lda","517361418","StartUp","Active","UNI","50000.00€","28/10/2020","00005","Extração de carvão e lenhite","Porto,Porto,Santo Estevão","Inopol Academia de Empreendedorismo, Campus Politécnico de Coimbra, Avª Mário Silva","3045-601","Não Fornecido","Não Fornecido","Não Fornecido","rd2buzz-europa-technologies-unipessoal-lda"
"Remote Tech, Unipessoal Lda","518266176","StartUp","Active","UNI","1000.00€","08/03/2022","00005","Extração de carvão e lenhite","Lisboa,Lisboa,Escariz","Edifício Portela Business Center, Estrada da Portela, N.º 73 - 3º Piso, Escritório 9","2790-124","Não Fornecido","Não Fornecido","Não Fornecido","atpl-unipessoal-lda"
"Pandadoc Pt, Unipessoal Lda","514159596","StartUp","Active","LDA","801.00€","14/08/2018","00006","Extração de petróleo bruto e gás natural","Aveiro,Arouca,Canidelo","Rua do Portel, 2","7960-216","Não Fornecido","Não Fornecido","Não Fornecido","hijiffy-s-a"
"Hephaesnus, Lda","516402617","StartUp","Active","SA","58656.68€","31/08/2020","00006","Extração de petróleo bruto e gás natural","Porto,Vila Nova de Gaia,São Roque","Rua Carlos Ramos, Lote 14, 1.º Direito","3030-777","Não Fornecido","Não Fornecido","Não Fornecido","vetor-imperial-lda"
"Taikai, S.a","514178744","StartUp","Active","SA","50000.00€","29/03/2021","00006","Extração de petróleo bruto e gás natural","Madeira,Funchal,Santo António dos Olivais","Rua Dr. Gomes Leal , Nº 3 A","2560-331","Não Fornecido","Não Fornecido","Não Fornecido","worldadrenaline-lda"
"Footar, S.a","514339098","StartUp","Active","LDA","1340.92€","26/06/2012","00006","Extração de petróleo bruto e gás natural","Coimbra,Coimbra,Santo António dos Olivais","Startup Leiria-Cowork Mercado, Av. Cidade de Maringá, 55, 1º Piso","2400-137","Não Fornecido","Não Fornecido","Não Fornecido","leadzai-s-a"
